Kala Ghoda,18.9307214,72.8330849
Kalamboli,19.032803,73.1012153
Kalbadevi,18.9487379,72.8288826
Kalina,19.076277,72.8653997
Kalwa,19.1943854,72.9992013
Kalwa West,19.1943854,72.9992013
Kalyan,19.2403305,73.1305395
Kalyan East,19.2286576,73.1327486
Kalyan West,19.2403305,73.1305395
Kamothe,19.0166223,73.0966019
Kandivali,19.1998211,72.842594
Kanjur Marg East,19.1316889,72.9351934
Kanjur Marg West,19.1316889,72.9351934
Kanjurmarg,19.1316889,72.9351934
Kanjurmarg East,19.1316889,72.9351934
Kanjurmarg West,19.1316889,72.9351934
Kazi Sayed Street,18.9512564,72.8369815
Kemps Corner,18.9629177,72.8053877
Khar,19.0716903,72.8341267
Khar Danda,19.0787581,72.8264378
Khar West,19.0716903,72.8341267
Kharghar Sector 12,19.0439138,73.0656152
Kharghar Sector 2,19.0301846,73.0648774
Kharghar Sector 7,19.0346367,73.066353
Khetwadi,18.9581018,72.8233148
Khopoli,18.7889974,73.3413948
Kings Circle,19.0328044,72.8560064
Kopar Khairane,19.102769,73.0090013
Koper Khraine,20.593684,78.96288
Andheri Kurla Road,19.1108788,72.8715356
Kurla East,19.0620527,72.8834355
Kurla West,19.0599836,72.889999
Lal Bahadur Shastri Marg,19.1284347,72.9252514
Lal Baug,18.9908177,72.8382547
Lalbaug,22.280848,73.20281
Lamington Road,18.9625209,72.8178753
LBS Marg,19.1284347,72.9252514
Link Road,19.0753406,72.834305
Lohar Chawl,18.9467032,72.8312385
Lokhandwala,19.1435906,72.8246291
Parel,19.0021567,72.8415793
Lower Parel East,18.9937893,72.8320344
Lower Parel West,18.9964201,72.8309092
M G Road,12.974626,77.6097347
Mahakali Caves Road,19.125333,72.8665041
Mahalaxmi,18.9865217,72.8182877
Mahalaxmi West,18.9865217,72.8182877
Mahape,19.1182937,73.0275875
Mahim,19.0351534,72.8404432
Mahim East,19.0386825,72.8490338
Mahim West,19.0351534,72.8404432
Malabar Hill,18.9542739,72.8013252
Aarey Milk Colony,19.1509655,72.8831294
Airport,28.5561624,77.0999578
Ambewadi,20.0336835,72.724494
Andheri,19.113645,72.8697339
Asvini,18.9001523,72.8152347
Azad Nagar,22.696264,75.8875248
BPT Colony,19.0125259,72.8626251
BN Bhavan,20.593684,78.96288
Bandra,19.0606917,72.8362497
Bazargate,18.9359056,72.8357833
Bharat Nagar,17.4639345,78.4282972
Bhavani Shankar Road,19.0159325,72.8374203
CGS Colony,19.0304677,72.8700096
Air India Staff Colony,19.0815887,72.867425
Century Mills Worli,19.0064016,72.8246486
Chamar Baug,19.0035546,72.8383701
Colaba,18.9067031,72.8147123
Cotton Exchange,18.9873736,72.8457177
Dadar Colony,19.021324,72.8424178
Dadar,19.021324,72.8424178
Danda,24.1371596,83.9479637
Dockyard Road,18.9675962,72.844814
Dr Deshmukh Marg,18.9714917,72.8094381
Falkland Road,18.9618019,72.8230335
Girgaon Mdg,18.9557674,72.8242951
Gokhale Road,19.0172967,72.8353831
Goregoan,19.1551485,72.8678551
Government Colony,19.0644193,72.8493324
HMP School,19.122222,72.833484
Haffkine Institute,19.0020653,72.8437555
Haines Road,12.9951985,77.6082718
Hanuman Road,26.4983591,78.6041286
High Court Building,12.9778739,77.592635
INS Hamla,19.1902249,72.7976319
Central Building,29.8654,77.9023
Parel Naka,19.0057805,72.8394946
Oshiwara,19.1483497,72.8404703
Opera House,18.9560704,72.8156533
New Yogakshema,18.9297472,72.8232478
New Prabhadevi Road,19.014309,72.824659
N S Patkar Marg,18.9600199,72.8088448
Mori Road,19.0432238,72.8426458
Mazgaon Road,18.9655928,72.8390706
JJ Hospital,18.9630684,72.8336083
Juhu,19.098821,72.8320717
Kamathipura,18.9648916,72.8261411
Ketkipada,19.2588973,72.8766554
Kherwadi,19.0586788,72.8443768
Kidwai Nagar,26.4263382,80.3275589
Liberty Garden,19.186,72.8412535
Mazagon Dock,18.9670056,72.8479262
Naigaon,19.3429113,72.8234835
Mumbai Central,18.9690247,72.8205292
Orlem,19.195491,72.8375161
Nagardas Road,19.1236004,72.8518759
Madhavbaug,18.994309,73.120097
Khar Delivery,19.068611,72.839407
MPT,28.3596308,76.9306355
M A Marg,19.0285494,72.8558806
Magathane,19.2202063,72.8666866
LBSNE College,20.593684,78.96288
Mazagaon,18.9718388,72.8436024
Matunga Railway Workshop,19.0269249,72.8478554
Motilal Nagar,19.1574784,72.8382547
Nariman Point,18.9255728,72.8242221
International Airport,26.8288959,75.8057512
Irla,19.1083973,72.8434243
Malad,19.180237,72.8554149
Mantralaya,15.9413776,77.4257319
Marine Lines,18.9430864,72.8271764
Marol Naka,19.1081131,72.8794396
Prabhadevi,19.0158466,72.8279973
Princess Dock,18.957186,72.8471169
Raj Bhavan,18.9431956,72.7943079
Rajendra Nagar,25.6062727,85.1650548
Ramwadi,18.553295,73.9109977
Ranade Road,19.0213255,72.8397884
Rani Sati Marg,19.1799748,72.8593251
SRPF Camp,19.1431831,72.857825
S Savarkar Marg,19.1941976,72.9717255
S.K. Nagar,26.7671755,83.0361376
Sahar PT Colony,19.1013433,72.8633117
Sahargaon,24.5693855,87.7147986
Santacruz Central,19.0837513,72.8382236
Santacruz P AND T Colony,19.0834007,72.8583675
Santacruz,19.0843377,72.8359724
Secretariat,28.6151947,77.2059342
SEEPZ,19.1266574,72.8766554
Sewri,18.9985832,72.8547291
Sharma Estate,19.1373958,72.8466092
Shroffmahajan,20.593684,78.96288
Shroff Mahajan,18.9168951,72.8275898
